trip_id,arrival_time,departure_time,stop_id,stop_sequence
TI_19874,08:17:00,08:17:00,MOD_TI,1
TI_19874,08:30:00,08:30:00,BARI_TI,2
TI_23604,08:59:00,08:59:00,MOD_TI,1
TI_23604,09:15:00,09:15:00,BARI_TI,2
TI_19876,09:05:00,09:05:00,MOD_TI,1
TI_19876,09:18:00,09:18:00,BARI_TI,2
TI_23606,10:59:00,10:59:00,MOD_TI,1
TI_23606,11:15:00,11:15:00,BARI_TI,2
TI_19878,11:05:00,11:05:00,MOD_TI,1
TI_19878,11:18:00,11:18:00,BARI_TI,2
TI_19836,12:37:00,12:37:00,MOD_TI,1
TI_19836,12:50:00,12:50:00,BARI_TI,2
TI_19880,12:44:00,12:44:00,MOD_TI,1
TI_19880,12:57:00,12:57:00,BARI_TI,2
TI_19838,14:02:00,14:02:00,MOD_TI,1
TI_19838,14:15:00,14:15:00,BARI_TI,2
TI_19882,14:05:00,14:05:00,MOD_TI,1
TI_19882,14:18:00,14:18:00,BARI_TI,2
TI_19884,14:47:00,14:47:00,MOD_TI,1
TI_19884,15:00:00,15:00:00,BARI_TI,2
TI_23608,14:59:00,14:59:00,MOD_TI,1
TI_23608,15:15:00,15:15:00,BARI_TI,2
TI_19886,15:47:00,15:47:00,MOD_TI,1
TI_19886,16:00:00,16:00:00,BARI_TI,2
TI_23610,15:59:00,15:59:00,MOD_TI,1
TI_23610,16:15:00,16:15:00,BARI_TI,2
TI_19890,16:27:00,16:27:00,MOD_TI,1
TI_19890,16:40:00,16:40:00,BARI_TI,2
TI_23612,16:59:00,16:59:00,MOD_TI,1
TI_23612,17:15:00,17:15:00,BARI_TI,2
TI_19892,17:59:00,17:59:00,MOD_TI,1
TI_19892,18:12:00,18:12:00,BARI_TI,2
TI_23614,17:59:00,17:59:00,MOD_TI,1
TI_23614,18:15:00,18:15:00,BARI_TI,2
TI_23616,18:59:00,18:59:00,MOD_TI,1
TI_23616,19:15:00,19:15:00,BARI_TI,2
TI_19894,19:21:00,19:21:00,MOD_TI,1
TI_19894,19:35:00,19:35:00,BARI_TI,2
TI_23618,19:59:00,19:59:00,MOD_TI,1
TI_23618,20:15:00,20:15:00,BARI_TI,2
TI_19896,20:32:00,20:32:00,MOD_TI,1
TI_19896,20:45:00,20:45:00,BARI_TI,2
TI_23620,20:59:00,20:59:00,MOD_TI,1
TI_23620,21:15:00,21:15:00,BARI_TI,2
TI_19898,21:22:00,21:22:00,MOD_TI,1
TI_19898,21:35:00,21:35:00,BARI_TI,2
TI_19852,22:07:00,22:07:00,MOD_TI,1
TI_19852,22:20:00,22:20:00,BARI_TI,2
TI_19825,05:30:00,05:30:00,BARI_TI,1
TI_19825,05:42:00,05:42:00,MOD_TI,2
TI_19827,06:10:00,06:10:00,BARI_TI,1
TI_19827,06:22:00,06:22:00,MOD_TI,2
TI_23603,06:45:00,06:45:00,BARI_TI,1
TI_23603,06:58:00,06:58:00,MOD_TI,2
TI_19871,07:18:00,07:18:00,BARI_TI,1
TI_19871,07:30:00,07:30:00,MOD_TI,2
TI_23605,07:45:00,07:45:00,BARI_TI,1
TI_23605,07:58:00,07:58:00,MOD_TI,2
TI_19853,09:10:00,09:10:00,BARI_TI,1
TI_19853,09:22:00,09:22:00,MOD_TI,2
TI_19873,09:50:00,09:50:00,BARI_TI,1
TI_19873,10:02:00,10:02:00,MOD_TI,2
TI_19875,10:50:00,10:50:00,BARI_TI,1
TI_19875,11:02:00,11:02:00,MOD_TI,2
TI_19831,11:10:00,11:10:00,BARI_TI,1
TI_19831,11:22:00,11:22:00,MOD_TI,2
TI_23607,12:45:00,12:45:00,BARI_TI,1
TI_23607,12:58:00,12:58:00,MOD_TI,2
TI_19877,13:10:00,13:10:00,BARI_TI,1
TI_19877,13:22:00,13:22:00,MOD_TI,2
TI_19879,13:40:00,13:40:00,BARI_TI,1
TI_19879,13:52:00,13:52:00,MOD_TI,2
TI_23609,13:45:00,13:45:00,BARI_TI,1
TI_23609,13:58:00,13:58:00,MOD_TI,2
TI_19881,14:40:00,14:40:00,BARI_TI,1
TI_19881,14:52:00,14:52:00,MOD_TI,2
TI_23611,14:45:00,14:45:00,BARI_TI,1
TI_23611,14:58:00,14:58:00,MOD_TI,2
TI_19883,15:24:00,15:24:00,BARI_TI,1
TI_19883,15:36:00,15:36:00,MOD_TI,2
TI_23613,15:45:00,15:45:00,BARI_TI,1
TI_23613,15:58:00,15:58:00,MOD_TI,2
TI_19891,16:30:00,16:30:00,BARI_TI,1
TI_19891,16:42:00,16:42:00,MOD_TI,2
TI_23615,16:45:00,16:45:00,BARI_TI,1
TI_23615,16:58:00,16:58:00,MOD_TI,2
TI_19893,17:44:00,17:44:00,BARI_TI,1
TI_19893,17:56:00,17:56:00,MOD_TI,2
TI_23617,17:45:00,17:45:00,BARI_TI,1
TI_23617,17:58:00,17:58:00,MOD_TI,2
TI_19895,18:20:00,18:20:00,BARI_TI,1
TI_19895,18:33:00,18:33:00,MOD_TI,2
TI_23619,18:45:00,18:45:00,BARI_TI,1
TI_23619,18:58:00,18:58:00,MOD_TI,2
TI_19897,19:45:00,19:45:00,BARI_TI,1
TI_19897,19:57:00,19:57:00,MOD_TI,2
